0T.1	0.1	0	0	0	1	501	+
1T.1	1.1	1	1	1	1	501	+
2T.1	2.1	2	2	2	1	501	+
3T.1	3.1	3	3	3	1	501	+
4T.1	4.1	4	4	4	1	501	+
5T.1	5.1	5	5	5	1	501	+
6T.1	6.1	6	6	6	1	501	+
7T.1	7.1	7	7	7	1	501	+
8T.1	8.1	8	8	8	1	501	+
9T.1	9.1	9	9	9	1	501	+
10T.1	10.1	10	10	10	1	501	+
11T.1	11.1	11	11	11	1	501	+
12T.1	12.1	12	12	12	1	501	+
13T.1	13.1	13	13	13	1	501	+
14T.1	14.1	14	14	14	1	501	+
15T.1	15.1	15	15	15	1	501	+
16T.1	16.1	16	16	16	1	501	+
17T.1	17.1	17	17	17	1	501	+
18T.1	18.1	18	18	18	1	501	+
19T.1	19.1	19	19	19	1	501	+
20T.1	20.1	20	20	20	1	501	+
21T.1	21.1	21	21	21	1	501	+
22T.1	22.1	22	22	22	1	501	+
23T.1	23.1	23	23	23	1	501	+
24T.1	24.1	24	24	24	1	501	+
25T.1	25.1	25	25	25	1	501	+
26T.1	26.1	26	26	26	1	501	+
27T.1	27.1	27	27	27	1	501	+
28T.1	28.1	28	28	28	1	501	+
29T.1	29.1	29	29	29	1	501	+
30T.1	30.1	30	30	30	1	501	+
31T.1	31.1	31	31	31	1	501	+
32T.1	32.1	32	32	32	1	501	+
33T.1	33.1	33	33	33	1	501	+
34T.1	34.1	34	34	34	1	501	+
35T.1	35.1	35	35	35	1	501	+
36T.1	36.1	36	36	36	1	501	+
37T.1	37.1	37	37	37	1	460	+
